,,,Size_Ratio,Size_Ratio,Size_Ratio,Pos_X,Pos_X,Pos_X,Pos_Y,Pos_Y,Pos_Y,Item_Count,Item_Count,Item_Count
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Type,Age,Sex,,,,,,,,,,,,
남자사람,9,여,17.544539388020834,10.987118053999241,465,0.45485131048387095,0.06763991592502279,465,0.44986895161290325,0.08780098934478418,465,26.886021505376345,0.6034368874395474,465
남자사람,10,남,22.412921375797268,14.74296972890865,1073,0.45892576304753024,0.06695413877873115,1073,0.44315878378378376,0.0850703279011592,1073,26.868592730661696,0.5862793567605165,1073
남자사람,10,여,20.36685164517196,11.98936917752973,756,0.45267185433201057,0.06051765516354097,756,0.45554315476190477,0.07968699348369825,756,26.91269841269841,0.593829300999836,756
남자사람,11,남,22.20185097581194,13.569265619242918,1171,0.45268400405636205,0.06785992523017122,1171,0.44590027220324513,0.08274108039294205,1171,26.912894961571308,0.6813230505523126,1171
남자사람,11,여,21.792161520329827,11.68390679413825,1037,0.45637882714561234,0.06312230627745159,1037,0.4638489181533269,0.07394138387479997,1037,26.926711668273867,0.7114820078396565,1037
남자사람,12,남,23.928704032832066,13.631128314304352,1158,0.4572235265544041,0.061229000459339177,1158,0.44878258581606223,0.07659022215385254,1158,26.962003454231432,0.6615297167227874,1158
남자사람,12,여,22.838417608087713,11.698338879764762,1320,0.4635854640151515,0.05659645902271882,1320,0.46205551609848483,0.06857923351093836,1320,26.949242424242424,0.7293267754796691,1320
남자사람,13,남,25.193780102776092,14.356811065549987,1030,0.45997155643203885,0.061783695946342275,1030,0.4552768507281553,0.07539882507027824,1030,26.945631067961166,0.6693014066839695,1030
남자사람,13,여,24.400938443927796,12.178483687951434,1182,0.46497032307529607,0.05440452383282826,1182,0.4671749418358714,0.06410490039487732,1182,26.990693739424703,0.7681738967132329,1182
여자사람,7,남,22.37081650556144,14.170690657535134,59,0.4412870762711864,0.1084865017839624,59,0.44643140889830507,0.1107912620947196,59,26.8135593220339,0.5405800292019178,59
여자사람,7,여,27.09741639254386,16.088979059582766,57,0.4446271929824561,0.07534023606591417,57,0.4895353618421053,0.10441439174791414,57,26.70175438596491,0.6257827179021983,57
여자사람,8,남,25.935048965917826,16.68181082365114,691,0.45570278581765555,0.07573422085986818,691,0.46617221418234445,0.09420179336569871,691,26.83646888567294,0.6121013746685058,691
여자사람,8,여,20.603324288649183,13.346514209362434,482,0.4560384789937759,0.07197618142187115,482,0.46039289419087137,0.09217296191568176,482,26.8402489626556,0.6555364249351818,482
여자사람,9,남,24.732817093531292,15.543358573458075,768,0.45725606282552084,0.07590281966075102,768,0.463336181640625,0.09725574531856854,768,26.80859375,0.5942612137406014,768
여자사람,9,여,21.53522231625373,13.57141423898774,461,0.455554331616052,0.059636695327517156,461,0.45185229121475057,0.08770387822275176,461,26.81995661605206,0.5898717604411277,461
여자사람,10,남,24.54514953081513,14.729445184715054,1033,0.45942226827202326,0.06893300370941044,1033,0.4496203412391094,0.08460481932784608,1033,26.83349467570184,0.5884557080774315,1033
여자사람,10,여,23.111748657998184,13.515566464399367,791,0.45627814870417194,0.05933296706065659,791,0.46203283027812897,0.0767030688996597,791,26.9102402022756,0.6209701009553242,791
여자사람,11,남,24.685970165620077,15.177883407743685,1111,0.45645814581458144,0.06292498579459001,1111,0.4505027846534653,0.0823439461619532,1111,26.833483348334834,0.5759398268759777,1111
여자사람,11,여,24.197028971959224,12.70175737472428,1076,0.45612620527416353,0.05801109399015964,1076,0.4638519400557621,0.07012749133840449,1076,26.889405204460967,0.8711602631139131,1076
여자사람,12,남,25.784980841204394,14.512650208931866,1134,0.4585393242945326,0.06063231001153226,1134,0.4560722552910053,0.0794043079616117,1134,26.88536155202822,0.6038249673057643,1134
여자사람,12,여,24.96635744976616,12.568156248141896,1313,0.45927503808073117,0.05732125455313252,1313,0.46850069021325214,0.06664782432734989,1313,26.861386138613863,0.6653283374901975,1313
여자사람,13,남,26.209951255216176,14.636128763215,996,0.4588757373242972,0.061601311577855054,996,0.45725323167670684,0.07590758467960806,996,26.842369477911646,0.591609683932525,996
여자사람,13,여,26.181497182442232,12.78759280032155,1228,0.4604784838151466,0.05395674529788889,1228,0.471648195745114,0.0667233180715914,1228,26.824918566775246,0.6555869178775285,1228
집,7,남,21.381428685681573,12.643908919690904,58,0.4318224676724138,0.10799651216317566,58,0.3931707974137931,0.11721925377035579,58,19.224137931034484,2.9738220634146533,58
집,7,여,28.437698052853953,16.59764285068869,49,0.43832908163265305,0.11385609336178334,49,0.3749362244897959,0.08880912376458834,49,20.816326530612244,5.317712029105167,49
집,8,남,23.9975258518586,15.425429041265177,686,0.45317738702623905,0.11204053641024456,686,0.4238919005102041,0.12587098338852426,686,19.806122448979593,4.46024029428848,686
집,8,여,25.540030307457094,15.102666384557013,488,0.4459072425717213,0.10803502551782708,488,0.41467165087090163,0.11190192322079731,488,20.850409836065573,5.154707168390245,488
집,9,남,24.487888429945222,14.619453892090148,773,0.4514720447930142,0.1060450206289755,773,0.41146709249676583,0.12400891045982601,773,19.833117723156533,4.380460646377876,773
집,9,여,24.980483574731604,15.055037518550076,457,0.44303884026258206,0.11047182185364761,457,0.4051815508752735,0.11055889894582907,457,20.800875273522976,4.777707657474075,457
집,10,남,21.937031104314546,14.45600035887543,1039,0.45449951876804623,0.11316549917816923,1039,0.4023997684071222,0.1210187748330832,1039,20.028873917228104,4.485379136113815,1039
집,10,여,22.7225326005114,14.2716474373253,773,0.4517358303686934,0.12283779926000145,773,0.40362477765200516,0.11075373334611707,773,21.122897800776197,4.690322512432366,773
집,11,남,21.40019361143254,13.554071716970888,1141,0.43956438978965817,0.12197418991120645,1141,0.4030513940622261,0.11743479280963727,1141,20.02979842243646,5.4054055833706265,1141
집,11,여,22.068034094226277,13.957669594985202,1017,0.45626152286135696,0.12802339256622622,1017,0.4037914054818092,0.11747078818178762,1017,21.532940019665684,5.109350170299291,1017
집,12,남,18.644080375747937,12.019639508411908,1196,0.4442794340510034,0.13160073681295675,1196,0.40570260242474915,0.1271622745906236,1196,20.225752508361204,5.086288634086797,1196
집,12,여,19.13593834538801,12.83564273844428,1314,0.45202298563546417,0.1471813159879884,1314,0.4134203767123288,0.11591436692124667,1314,21.90715372907154,5.663089344635244,1314
집,13,남,19.823725111620902,13.191827640164316,1014,0.4353712093195266,0.1320492669696927,1014,0.399695666913215,0.12261322123771537,1014,20.738658777120314,6.375525805382692,1014
집,13,여,19.461561284404418,11.841108475206857,1195,0.4485636767782427,0.14367998001747315,1195,0.40294488755230123,0.11454409250954996,1195,22.2418410041841,5.971954831883997,1195
